Institution,Titre_du_poste,Domaine,Date
FINCA Haiti S.A.,Project Manager,"Management/Gestion, Finance, Comptabilité et Commerce",22-Jan-22
Consortium Progettomondo/CISV,Ingénieur civil,Sciences de l’Ingénieur,21-Jan-22
Konbit Sante,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",21-Jan-22
Mercy Corps Haiti,Officier (ère) de Protection,Sciences Humaines et Sociales,20-Jan-22
Mercy Corps Haiti,Mobilisateur Communautaire,Agriculture – Agroalimentaire,20-Jan-22
CECI,Chargée de Renforcement Organisationnel,Sciences Humaines et Sociales,20-Jan-22
ISPD,Infirmiere (Port-au-Prince),Santé et Professions médicales,18-Jan-22
ISPD,Infirmiere (Cap-Haitien),Santé et Professions médicales,18-Jan-22
MSF B,Superviseur Sage femme Outreach,Santé et Professions médicales,18-Jan-22
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agents de Crédit (4),"Management/Gestion, Finance, Comptabilité et Commerce",18-Jan-22
USAID,USAID Project Management Specialist (Child Survival/Nutrition/Orphans and Vulnerable Children),Santé et Professions médicales,18-Jan-22
USAID,Computer Management Specialist,Sciences Informatiques,18-Jan-22
USAID,USAID Project Management Specialist (Care and Treatment),Santé et Professions médicales,18-Jan-22
FAO,Assistant au Responsable des Operations d’Urgence,"Management/Gestion, Finance, Comptabilité et Commerce",18-Jan-22
Mercy Corps Haiti,Assistant de redevabilité et systèmes d’information,Sciences Humaines et Sociales,17-Jan-22
ASFC,Assistant.e comptable,Droit,17-Jan-22
ASFC,Agent.e de programme,Droit,17-Jan-22
ASFC,Conseillère juridique,Droit,17-Jan-22
Croix Rouge Canadienne,Un /Une Officier/ ère Administration & Finance,"Management/Gestion, Finance, Comptabilité et Commerce",17-Jan-22
Hope for Haiti,Community Health Program Manager,Santé et Professions médicales,15-Jan-22
Croix Rouge Canadienne,Coordonnateur/trice Logistique,Transport et Logistique,14-Jan-22
Croix Rouge Canadienne,Un /Une Officier/ère Santé,Santé et Professions médicales,14-Jan-22
CEDEL HAITI,Responsable de l'administration et des finances,"Management/Gestion, Finance, Comptabilité et Commerce",14-Jan-22
FHI/Humanité & Inclusion_ HI,Manager Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",14-Jan-22
MSI,Spécialiste des subventions et acquisitions,Sciences Humaines et Sociales,14-Jan-22
Action Contre la Faim - Haïti,Officier/Officière MEAL (Gonaives et Port-de-Paix),Sciences économiques et politiques,13-Jan-22
Action Contre la Faim - Haïti,Responsable de Projet Nutrition-Santé et Communication pour le Changement de Comportement,Santé et Professions médicales,12-Jan-22
USAID,USAID Project Management Specialist (Supply Chain),Santé et Professions médicales,12-Jan-22
Secteur prive,Directrice des Ressources Humaines,Agriculture – Agroalimentaire,10-Jan-22
FAO,Animateur d’une plateforme de partenaires de développement et suivi et évaluation,Communication et Journalisme,10-Jan-22
Heifer Haiti,Business and Innovation Specialist,Marketing,08-Jan-22
SOS Villages d'Enfants Haiti,Coordonnateur/trice Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce",07-Jan-22
SOS Villages d'Enfants Haiti,Coordonnateur/trice de Planification financière,"Management/Gestion, Finance, Comptabilité et Commerce",07-Jan-22
FAO,Technicien Agricole-Animateur des CEP et encadrement des producteurs (3,Agriculture – Agroalimentaire,07-Jan-22
FAO,Technicien Agricole,Agriculture – Agroalimentaire,07-Jan-22
GRET Haiti,Un / une chef(fe) de projet sur le projet Timama 2 (santé maternelle et infantile),Santé et Professions médicales,07-Jan-22
Living Water International,Hygiene and Sanitation Coordinator,Santé et Professions médicales,06-Jan-22
Plan International-Haiti,Child Protection Advisor-Project JCA,Sciences Humaines et Sociales,06-Jan-22
CDS,Infirmier (ère) en Planification Familiale et en PTME,Santé et Professions médicales,05-Jan-22
Action Contre la Faim - Haïti,Officier/Officière MEAL,Sciences économiques et politiques,05-Jan-22
CRS,Senior ICT4D MEAL Officer,Sciences économiques et politiques,04-Jan-22
CRS,Field Officer,Sciences Humaines et Sociales,04-Jan-22
Plan International-Haiti,Program Support Coordinator,Sciences Humaines et Sociales,04-Jan-22
Hope for Haiti,Infrastructure Coordinator,Sciences de l’Ingénieur,04-Jan-22
GOAL Haiti,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",03-Jan-22
GOAL Haiti,Directeur (trice) Système (ACDS),"Management/Gestion, Finance, Comptabilité et Commerce",03-Jan-22
Living Water International,Church and Community Mobilization (CCM) Coordinator,Santé et Professions médicales,03-Jan-22
WeltHungerHilfe (Agro Action Allemande),Secrétaire réceptionniste,Secrétariat,03-Jan-22
USAID,Project Management Specialist (Governance),Sciences économiques et politiques,03-Jan-22
UCMIT/UCP,Data quality team lead,Sciences Informatiques,31-Dec-21
IMA World Health,Officier de Finances,"Management/Gestion, Finance, Comptabilité et Commerce",31-Dec-21
WeltHungerHilfe (Agro Action Allemande),Logistic Officer,Transport et Logistique,31-Dec-21
University of California San Francisco,Quality Improvement Coach,Santé et Professions médicales,31-Dec-21
FDF,Officier(ère) Logistique,Transport et Logistique,31-Dec-21
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directeur des Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",31-Dec-21
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directeur Exécutif,"Management/Gestion, Finance, Comptabilité et Commerce",31-Dec-21
MSI,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",31-Dec-21
Mercy Corps Haiti,Deputy Program Manager - Economic Development and Private Sector Engagement,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
Mercy Corps Haiti,Manager de Program Adjoint Nippes - Sécurité alimentaire et agriculture,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
Mercy Corps Haiti,Officier Senior Nutrition,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
CRS,Grant Manager,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
OPS/OMS,Epidemiologiste de terrain,Santé et Professions médicales,30-Dec-21
FINCA Haiti S.A.,Server Administrator,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
FINCA Haiti S.A.,Auditeur/trice Senior,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
FINCA Haiti S.A.,Officier/cière Risque,"Management/Gestion, Finance, Comptabilité et Commerce",30-Dec-21
PNUD Haiti,Assistant.e aux Achats (projet AGLDT),"Management/Gestion, Finance, Comptabilité et Commerce",29-Dec-21
PNUD Haiti,Expert.e Thématique en Egalité des sexes,Sciences Humaines et Sociales,29-Dec-21
CRS,Business Development Specialist II,Sciences économiques et politiques,27-Dec-21
HOLT,Part-time Accountant (Port-au-Prince),Sciences Humaines et Sociales,27-Dec-21
Banque,Responsable Marketing,Marketing,24-Dec-21
Banque,Responsable de la Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",24-Dec-21
PNUD Haiti,Coordonnateur (trice) Technique Communication et Mobilisation Sociale – C19RM,Santé et Professions médicales,23-Dec-21
PNUD Haiti,"Coordonnateur Technique Gestion des Cas, des Produits de Santé et déchets",Santé et Professions médicales,23-Dec-21
PNUD Haiti,Analyste Suivi des interventions – C19RM,Sciences Humaines et Sociales,23-Dec-21
PNUD Haiti,Assistant.e aux Finances,"Management/Gestion, Finance, Comptabilité et Commerce",23-Dec-21
IMA World Health,Senior Country Program Manager for Haiti,"Management/Gestion, Finance, Comptabilité et Commerce",23-Dec-21
PNUD Haiti,Coordonnateur Technique Laboratoire & Surveillance,Santé et Professions médicales,22-Dec-21
RTI International,"Conseiller Résident (CR) - Haïti, Systèmes d'information sanitaire et utilisation des données (CHISU",Santé et Professions médicales,22-Dec-21
UCMIT/UCP,Officier  en charge de  la rétention des patients  sous traitement ARV (Quality of care and continit,Santé et Professions médicales,22-Dec-21
Banque,Responsable de l’Audit Interne,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Responsable de la Conformité,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Responsable du Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce",22-Dec-21
Banque,Directeur des technologies de l’information,Sciences Informatiques,22-Dec-21
